{u'isTweet': False, u'conll': u'You . . \ncan . . \nfind . . \nour . . \nIcefog . . B_MALWARE\nAPT . . \nanalysis . . \nand . . \ndetailed . . \nreport . . \nhere . . \n. . . \n', u'malware': [u'icefog'], u'uniqMalware': [u'Macfog', u'Dagger Panda', u'Icefog'], u'docID': u'KjmiRO', u'numMalwareMentions': 20, u'created': u'2015-09-11T08:58:42.210698', u'numUniqueMalware': 3, u'sentence': u'You can find our Icefog APT analysis and detailed report here .', u'sentence_type': u'DanielMeningar', u'random': 0.9771767990628093, u'title': u'The Icefog APT Hits US Targets With Java Backdoor', u'_id': u'411f4897ad2b9016af88c1fc6355a550'}
{u'isTweet': False, u'conll': u'Taidoor . . B_MALWARE\nis . . \na . . \ncampaign . . \nwhich . . \nemployed . . \nmalicious . . \n. . . \n', u'malware': [u'taidoor'], u'uniqMalware': [u'Gh0st RAT', u'Ixeshe', u'Taidoor'], u'docID': u'ONzC0V', u'numMalwareMentions': 7, u'created': u'2015-09-11T09:12:04.450847', u'numUniqueMalware': 3, u'sentence': u'Taidoor is a campaign which employed malicious .', u'sentence_type': u'DanielMeningar', u'random': 0.22172613170862454, u'title': u'Messaging Application LINE Used as a Decoy for Targeted Attack', u'_id': u'c5168663431ac9fd5629780b2d06718c'}
{u'isTweet': False, u'conll': u'Microsoft . . \nof . . \nbeing . . \nthe . . \nman . . \nbehind . . \nthe . . \nKelihos . . B_MALWARE\n. . . \n', u'malware': [u'kelihos'], u'uniqMalware': [u'Waledac - Kelihos'], u'docID': u'JW6CFL', u'numMalwareMentions': 7, u'created': u'2015-09-11T09:13:41.455627', u'numUniqueMalware': 1, u'sentence': u'Microsoft of being the man behind the Kelihos botnet', u'sentence_type': u'DanielMeningar', u'random': 0.667375004490171, u'title': u'Microsoft settles with Sabelnikov over the Kelihos botnet', u'_id': u'bcdf755073e15c471916cf4b2f0a7eaf'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n48 . . \nChecking . . \nfor . . \nfile . . \nusr . . \ninclude . . \nlog . . \nh . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:48] Checking for file '/usr/include/log.h' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:10:36.558600', u'random': 0.55810685233553, u'sentence_type': u'negative_crowdflower', u'_id': u'41a3982de2da6e8c0292d8b0539373d6'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n54 . . \nChecking . . \nfor . . \nfile . . \ndev . . \nlib . . \nlib . . \nlib . . \ngetip . . \nsh . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:54] Checking for file '/dev/.lib/lib/lib/getip.sh' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:10:47.502926', u'random': 0.6704255949057841, u'sentence_type': u'negative_crowdflower', u'_id': u'9b1e3d11c781b4446441edd9d2a7fa59'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n48 . . \nChecking . . \nfor . . \nfile . . \netc . . \nld . . \nso . . \nhash . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:48] Checking for file '/etc/ld.so.hash' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:10:59.546255', u'random': 0.4771503525386097, u'sentence_type': u'negative_crowdflower', u'_id': u'6f72a9ce594cca6e4149f0e132f7a33d'}
{u'isTweet': u'', u'conll': u'Type . . \nin . . \ncontrol . . \npanel . . \nand . . \nclick . . \nOK . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'Type in control panel and click OK .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:13.312281', u'random': 0.9893943536273004, u'sentence_type': u'negative_crowdflower', u'_id': u'bc9b7093a49d1f4cdaffebc015d1895c'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n31 . . \nChecking . . \nfor . . \nfile . . \nusr . . \nsbin . . \nntpsx . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:31] Checking for file '/usr/sbin/ntpsx' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:13.932702', u'random': 0.7125556494726952, u'sentence_type': u'negative_crowdflower', u'_id': u'59bd55949c0c81ee33d7e5163ee05bfb'}
{u'isTweet': u'', u'conll': u'The . . \ndownloaded . . \nfile . . \nis . . \nan . . \nencrypted . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'The downloaded file is an encrypted .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:16.600683', u'random': 0.30690298998810017, u'sentence_type': u'negative_crowdflower', u'_id': u'41eec147a1cb4128d2b7dd2190648ba6'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n47 . . \nChecking . . \nfor . . \nfile . . \nusr . . \ninclude . . \nrpcsvc . . \ndu . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:47] Checking for file '/usr/include/rpcsvc/du' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:27.226928', u'random': 0.3946045880130825, u'sentence_type': u'negative_crowdflower', u'_id': u'831cbd3cd8f61129592e14f9f24ed74b'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n46 . . \nChecking . . \nfor . . \nfile . . \ndev . . \nlib . . \nlib . . \nlib . . \nnetstat . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:46] Checking for file '/dev/.lib/lib/lib/netstat' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:34.292360', u'random': 0.7880632119592725, u'sentence_type': u'negative_crowdflower', u'_id': u'38479ae640a661fff488e6fa06a6b665'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n47 . . \nChecking . . \nfor . . \nfile . . \ntmp . . \na . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:47] Checking for file '/tmp/.a' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:39.021861', u'random': 0.9364258827301271, u'sentence_type': u'negative_crowdflower', u'_id': u'54cd0f15789924ebe6ef60339ff5fed3'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n54 . . \nChecking . . \nfor . . \nfile . . \ndev . . \nlib . . \nlib . . \nlib . . \npstree . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:54] Checking for file '/dev/.lib/lib/lib/pstree' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:11:50.098986', u'random': 0.3177759482519946, u'sentence_type': u'negative_crowdflower', u'_id': u'9b4b65c5d52db945a17c2e25abfd8b47'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n22 . . \nChecking . . \nfor . . \nfile . . \nlib . . \nsecurity . . \nconfig . . \nava . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:22] Checking for file '/lib/security/.config/ava' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:12:18.596724', u'random': 0.5864056944678422, u'sentence_type': u'negative_crowdflower', u'_id': u'7fbe74a9722159630f2189f0c9b659e1'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n25 . . \nChecking . . \nfor . . \nfile . . \nlib . . \nldd . . \nso . . \ntkp . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:25] Checking for file '/lib/ldd.so/tkp' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:12:24.669720', u'random': 0.09143914486505289, u'sentence_type': u'negative_crowdflower', u'_id': u'c6b5e2a7b1278fd30d0923b5bee4fa34'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n44 . . \nChecking . . \nfor . . \nfile . . \ndev . . \nproc . . \nfuckit . . \nconfig . . \nrports . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:44] Checking for file '/dev/proc/fuckit/config/rports' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:12:40.236629', u'random': 0.22822368430852003, u'sentence_type': u'negative_crowdflower', u'_id': u'8c95753eaa89d8af14d9e2abcbe4cf2d'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n19 . . \nChecking . . \nfor . . \nfile . . \nbin . . \nhomedir . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:19] Checking for file '/bin/homedir' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:13:11.696903', u'random': 0.7549680266051816, u'sentence_type': u'negative_crowdflower', u'_id': u'993e68cfc4e9bb0b469f3ab47b295de9'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n50 . . \nChecking . . \nfor . . \nfile . . \ndev . . \nttpy . . \nstat . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:50] Checking for file '/dev/.ttpy/stat' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:13:19.241725', u'random': 0.5981151760088533, u'sentence_type': u'negative_crowdflower', u'_id': u'0a860545f8de139e8d74d0d9bbac62c5'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n21 . . \nChecking . . \nfor . . \nfile . . \nlib . . \nlibproc . . \nso . . \n2 . . \n0 . . \n7 . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:21] Checking for file '/lib/libproc.so.2.0.7' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:13:28.109486', u'random': 0.9614155930522355, u'sentence_type': u'negative_crowdflower', u'_id': u'0eb5c19c49d50183abf4d4157a8eb018'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n20 . . \nChecking . . \nfor . . \nfile . . \nusr . . \nlib . . \nldlibns . . \nso . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:20] Checking for file '/usr/lib/ldlibns.so' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:13:47.904089', u'random': 0.6842692015810531, u'sentence_type': u'negative_crowdflower', u'_id': u'c475abb00df9aee115949a3bb5f11cb5'}
{u'isTweet': u'', u'conll': u' . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'      .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:13:53.498694', u'random': 0.21381442872386425, u'sentence_type': u'negative_crowdflower', u'_id': u'678ad7062dd554bdd1f69478d1f88423'}
{u'isTweet': u'', u'conll': u' . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'     .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:13:57.142063', u'random': 0.7436303017161355, u'sentence_type': u'negative_crowdflower', u'_id': u'801e5e04c821e0ab0775adeb23a5cf3c'}
{u'isTweet': u'', u'conll': u'279 . . \nD . . \nRuby . . \nlib . . \nruby . . \ngems . . \n2 . . \n0 . . \n0 . . \ngems . . \nactivesupport . . \n4 . . \n1 . . \n5 . . \nlib . . \nactive . . \nsupport . . \ncore . . \next . . \narray . . \nwrap . . \nrb . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'279 D:/Ruby/lib/ruby/gems/ 2.0 .0 /gems/activesupport -4.1 .5 /lib/active_support/core_ext/array/wrap.rb.', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:14:36.045381', u'random': 0.11004852894098671, u'sentence_type': u'negative_crowdflower', u'_id': u'af6230f28945d66c4b007a23f433898d'}
{u'isTweet': u'', u'conll': u'The . . \ntechnique . . \nis . . \nknown . . \nas . . \nsocial . . \nengineering . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'The technique is known as social engineering .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:14:43.153626', u'random': 0.8428669584714866, u'sentence_type': u'negative_crowdflower', u'_id': u'7fa670d1567ada63fc421c455243bf95'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n45 . . \nChecking . . \nfor . . \nfile . . \nbin . . \nmjy . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:45] Checking for file '/bin/mjy' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:14:43.520165', u'random': 0.13861826275862055, u'sentence_type': u'negative_crowdflower', u'_id': u'414a47318a89766a273e62739e619d10'}
{u'isTweet': u'', u'conll': u'345 . . \nD . . \nRuby . . \nlib . . \nruby . . \ngems . . \n2 . . \n0 . . \n0 . . \ngems . . \narel . . \n5 . . \n0 . . \n1 . . \n20140414130214 . . \nlib . . \narel . . \nvisitors . . \njoin . . \nsql . . \nrb . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'345 D:/Ruby/lib/ruby/gems/ 2.0 .0 /gems/arel -5.0 .1 .20140414130214 /lib/arel/visitors/join_sql.rb.', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:14:48.411768', u'random': 0.17098499121442445, u'sentence_type': u'negative_crowdflower', u'_id': u'1eb1350ca8a450c86e74a1cb1565dc29'}
{u'isTweet': u'', u'conll': u'262 . . \nD . . \nRuby . . \nlib . . \nruby . . \ngems . . \n2 . . \n0 . . \n0 . . \ngems . . \nactivesupport . . \n4 . . \n1 . . \n5 . . \nlib . . \nactive . . \nsupport . . \ncore . . \next . . \ntime . . \ncalculations . . \nrb . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'262 D:/Ruby/lib/ruby/gems/ 2.0 .0 /gems/activesupport -4.1 .5 /lib/active_support/core_ext/time/calculations.rb.', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:15:27.433343', u'random': 0.8370817927508513, u'sentence_type': u'negative_crowdflower', u'_id': u'8e80385dbb49ba57b3d2d821d2ad0ab2'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n27 . . \nChecking . . \nfor . . \nfile . . \ndev . . \nlib . . \nlib . . \nlib . . \nfind . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:27] Checking for file '/dev/.lib/lib/lib/find' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:15:44.206706', u'random': 0.8500016025223858, u'sentence_type': u'negative_crowdflower', u'_id': u'd2939587df9dfb7f1cacaed9c98d0037'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n42 . . \nChecking . . \nfor . . \nfile . . \nusr . . \ninclude . . \nbkit . . \ndl . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:42] Checking for file '/usr/include/.../bkit-dl' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:15:47.494537', u'random': 0.11678337426953, u'sentence_type': u'negative_crowdflower', u'_id': u'4dc04ffa98fb1b531cf6726135f0f137'}
{u'isTweet': u'', u'conll': u'These . . \nthree . . \ncontinue . . \nto . . \nbe . . \nnot . . \nenough . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'These three continue to be not enough .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:04.409035', u'random': 0.33644445239883836, u'sentence_type': u'negative_crowdflower', u'_id': u'b001ab41223ecabe5bc2f08a40ed8377'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n18 . . \nChecking . . \nfor . . \nfile . . \nusr . . \ndoc . . \nkern . . \nadore . . \no . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:18] Checking for file '/usr/doc/kern/adore.o' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:10.964650', u'random': 0.39988759225531445, u'sentence_type': u'negative_crowdflower', u'_id': u'21435f23b8b1042eba455e06b424ad27'}
{u'isTweet': u'', u'conll': u'appeared . . \nfirst . . \non . . \nSecurity . . \nIntelligence . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'appeared first on Security Intelligence .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:17.041294', u'random': 0.47784661599731626, u'sentence_type': u'negative_crowdflower', u'_id': u'0f0697ec728cd10c187d3f5e2a88273c'}
{u'isTweet': u'', u'conll': u'appeared . . \nfirst . . \non . . \nCredit . . \nCard . . \nBank . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'appeared first on Credit Card Bank .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:29.598433', u'random': 0.40154561503130115, u'sentence_type': u'negative_crowdflower', u'_id': u'b9c4df194fe7fe6d9aa72ec18194b8d6'}
{u'isTweet': u'', u'conll': u'to . . \nyou . . \ncan . . \nhave . . \nyour . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'to you can have your .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:42.608275', u'random': 0.25688283642796594, u'sentence_type': u'negative_crowdflower', u'_id': u'4144f114d0b6007e1f827d110f45ad7b'}
{u'isTweet': u'', u'conll': u'What . . \ngoes . . \naround . . \ncomes . . \naround . . \nhe . . \nsaid . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'What goes around comes around he said .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:45.033337', u'random': 0.6049459653518608, u'sentence_type': u'negative_crowdflower', u'_id': u'a139916cca4e067ba18eabf179de988b'}
{u'isTweet': u'', u'conll': u' . . \n19 . . \n44 . . \n28 . . \nChecking . . \nfor . . \nfile . . \ndev . . \npts . . \n01 . . \nbin . . \ndu . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[19:44:28] Checking for file '/dev/pts/01/bin/du' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:46.853227', u'random': 0.1254305573593626, u'sentence_type': u'negative_crowdflower', u'_id': u'75031e385e3603dac59614d37172fbc7'}
{u'isTweet': u'', u'conll': u'of . . \nwith . . \nall . . \nthe . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'of . .  with all the . .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:16:50.492010', u'random': 0.08431776774788591, u'sentence_type': u'negative_crowdflower', u'_id': u'2f3b67ec6f484bec63ea2cf8690f675e'}
